,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 01:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:16:00,,,,,,,,,,,0.08428,,,,,,,,,,,,,,,,
2018-10-08 01:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:20:00,,,,,,,,,,,0.08606,,,,,,,,,,,,,,,,
2018-10-08 01:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.01335,
2018-10-08 01:22:00,,,,,,,,,,,0.28409,,,,,,,,,,,,,,,,
2018-10-08 01:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:27:00,,,,,,,0.29295,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:30:00,,,,,,,0.06855,,,,,,,,,,,,,,0.40134,,,,,,
2018-10-08 01:31:00,,,,,,,,,,,,,,,,,,,,,0.28577,,,,,,
2018-10-08 01:32:00,,,,,,,,,,,,,,,,,,,,,0.01495,,,0.03068,,,
2018-10-08 01:33:00,,,,,,,,,,,,,,,,,,,,,0.00602,,,,,,
2018-10-08 01:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:35:00,,,,,,,,,,,,,,,,,,,,,0.04923,,,,,,
2018-10-08 01:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:40:00,,,,,,,,,,,,,0.32179,,,,,,,,0.05995,,,,,,
2018-10-08 01:41:00,,,,,,,,,,,,,0.59091,,,,,,,,,,,,,,
2018-10-08 01:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:46:00,,,,,,,,,,,,,,,,,,,,,0.02891,,,0.18005,,,
2018-10-08 01:47:00,,,,,,,,,,,,,,,,,,,,,0.12027,,,,,,
2018-10-08 01:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 01:57:00,,,,,,,,,,,,,,,1.04956,,,,,,,,,,,,
2018-10-08 01:58:00,,,,,,,,,,,,,,,0.53409,,,,,,,,,,,,
2018-10-08 01:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:00:00,,,,,,,,,,,,,,,,,,,,,0.03612,,,,,,
2018-10-08 02:01:00,,,,,,,,,,,,,,,,,,,,,0.0107,,,,,,
2018-10-08 02:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:03:00,,,,,,,,,,,,,,,,,,,,,0.04047,,,,,,
2018-10-08 02:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:08:00,,,,,,,,,,,0.48624,,,,,,,,,,,,,,,,
2018-10-08 02:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:12:00,,,,,,,,,,,,,,,,,,,,,0.02586,,,,,,
2018-10-08 02:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:20:00,,,,,,,0.01878,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:21:00,,,,,,,,,,,,,,,,,,,,,,,,,0.02437,,
2018-10-08 02:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:25:00,,,,,,,,,,,,,,,,,,,,,,,,0.02508,,,
2018-10-08 02:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:28:00,,,,,,,,,,,,,,,,,,,,,,,,0.12713,,,
2018-10-08 02:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:39:00,,,,,,,,,,,,,,,,,,,,,,,,0.03433,,,
2018-10-08 02:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:47:00,,,,,,,,,,,,,,,,,,,,,,,,0.47882,,,
2018-10-08 02:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:50:00,,,,,,,,0.38658,,,,,,,,,,,,,,,,,,,
2018-10-08 02:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 02:55:00,,,,,,,,,,,,,,,,,,,,,,,,0.00707,,,
2018-10-08 02:56:00,,,,,,,,,,,,,,,,,,,,,0.0243,,,0.06002,,,
2018-10-08 02:57:00,,,,,,,,,,,,,,,,,,,,,,,,0.04671,,,
