,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 00:31:00,0.01557,,,,,,0.0233,0.0153,,0.02967,,0.01551,,0.05178,0.00473,,0.0317,,0.04385,0.00255,,0.01792,0.01924,0.0353,0.0106,,0.0002
2018-10-08 00:32:00,0.00772,,,,,,0.01592,,,0.0223,0.0002,3e-05,,0.03133,0.01036,,0.02518,,0.06746,0.00575,,0.01778,0.02304,0.01863,0.00151,,
2018-10-08 00:33:00,,,,,,,0.02137,,0.00337,0.01911,0.00355,,,0.00124,,,0.02122,,0.04905,,,,0.02732,0.00976,0.02557,,
2018-10-08 00:34:00,0.00405,,,,,,0.01208,0.00344,0.01038,9e-05,,,,0.0331,0.00825,,0.00603,,0.06891,,,0.01127,0.02073,0.01455,0.03057,,
2018-10-08 00:35:00,0.0036,,,,,,0.02048,0.00776,0.01051,0.01305,,,,0.02714,0.01002,,0.02117,,0.05161,0.00513,,0.01078,0.01189,0.01752,0.01762,,
2018-10-08 00:36:00,0.01084,,,,,,0.0078,0.00093,0.00095,0.00344,,,,0.01788,0.01385,,0.0161,,0.05097,0.00491,,0.01506,0.01809,0.01849,0.00553,,0.00569
2018-10-08 00:37:00,,,,,,,0.01404,0.00512,0.00134,0.00862,,0.01315,,0.03101,0.00823,,0.01242,,0.06487,,,0.01003,0.0176,0.02274,0.02578,,0.00922
2018-10-08 00:38:00,0.00071,,,,,,0.02429,,0.00388,0.02518,,0.00702,,0.01393,,,0.02125,,0.05492,,,0.01157,0.01818,0.02223,0.00397,,0.00475
2018-10-08 00:39:00,0.00677,,,,,,0.00946,,0.00808,0.00704,,0.00492,,,0.00019,,0.01437,,0.07075,,,0.02015,0.00202,0.00573,0.01115,,0.01962
2018-10-08 00:40:00,0.0068,,,,,,0.01319,,0.00522,0.02571,0.00622,,,0.00828,0.00408,,0.0034,,0.06188,0.00281,,0.01067,0.00503,0.01744,0.01068,,0.00528
2018-10-08 00:41:00,0.00454,,,,,,0.01422,,0.02829,0.02072,0.00966,0.0001,,0.00782,0.00285,,0.01959,,0.06382,,,0.01032,0.016,0.03092,0.00304,,
2018-10-08 00:42:00,,,,,,,0.01082,0.00454,0.0093,0.00095,,0.00278,,0.00902,0.00439,,0.01163,,0.0777,0.01092,,0.0031,0.02425,0.0176,0.00707,,0.02658
2018-10-08 00:43:00,0.00845,,,,,,0.02349,,0.0056,0.01589,,,,0.00711,,,0.02632,,0.07016,0.00376,,0.00079,0.00299,0.01085,0.00517,,0.01766
2018-10-08 00:44:00,,,,,,,0.01089,0.00743,,0.0267,,,,0.00227,0.00475,,0.00553,,0.06138,,,0.00578,0.00758,0.01921,,,
2018-10-08 00:45:00,0.00098,,,,,,0.01905,0.00108,0.00536,0.01976,,,,,0.02352,,0.0053,,0.07123,,,0.01704,0.01332,0.01373,0.0067,,0.0041
2018-10-08 00:46:00,0.0042,,,,,,0.022,0.01027,0.00477,0.02033,,,,0.02762,0.00605,,0.02564,,0.06248,,,0.00218,0.00847,0.02516,0.01526,,0.00209
2018-10-08 00:47:00,,,,,,,0.02756,0.00082,0.02478,0.0168,,0.00051,0.00524,0.0017,,,0.02092,,0.06842,0.00138,,0.00702,0.0223,0.02697,0.00462,,0.01462
2018-10-08 00:48:00,0.00027,,,,,,0.01559,0.01198,0.00581,0.00885,0.00135,,,0.00588,0.00858,,0.00513,,0.05717,0.00061,,0.01367,0.00864,0.01664,,,0.00211
2018-10-08 00:49:00,0.00152,,,,,,0.01848,0.00297,0.00408,0.00192,0.00727,0.00304,,,0.01212,,0.00713,,0.05055,0.00388,,0.00218,0.01381,0.0329,0.00176,,0.00411
2018-10-08 00:50:00,0.00083,,,,,,0.01622,0.00815,0.00099,0.00618,,0.00869,,,,,0.01649,,0.06026,0.00073,,0.01998,0.0035,0.02676,0.00673,,0.03715
2018-10-08 00:51:00,0.00769,,,,,,0.02086,0.00755,,0.01823,,0.00186,,,,,0.00591,,0.06095,0.0068,,0.00441,0.01041,0.00302,0.00447,,0.02843
2018-10-08 00:52:00,0.00175,0.00823,,,,,0.02544,,,0.01375,,0.0067,,0.03045,0.00751,,0.01774,,0.05643,,,0.004,0.0224,0.01557,0.00413,,0.02127
2018-10-08 00:53:00,0.00261,,,,,,0.01573,0.00262,,0.01673,0.00463,,,0.02912,0.04601,,0.01593,,0.05749,,,0.01027,0.03105,0.01263,0.01715,,0.0112
2018-10-08 00:54:00,0.00693,,,,,,0.00325,,,0.00796,0.01688,,,0.01024,,,0.00395,,0.06494,,,0.00588,0.00642,0.01361,,,0.01316
2018-10-08 00:55:00,0.00697,,,,,,0.01521,0.00419,0.01456,0.00668,,,,0.02336,0.0011,,0.00826,,0.07098,,,0.00744,0.00562,0.02511,0.00564,,0.00873
2018-10-08 00:56:00,0.0179,,,,,,0.02342,0.00361,0.00051,0.00536,,0.00482,,,0.02959,,0.0196,,0.06226,,,0.00707,0.02442,0.0156,0.02124,,0.00941
2018-10-08 00:57:00,0.00063,,,,,,0.00775,0.01728,0.00052,0.00139,,,,,0.00796,,0.00365,,0.06915,,,0.01124,0.00673,0.03248,0.00734,,
2018-10-08 00:58:00,,,,,,,0.02027,0.07355,0.00419,,0.00526,,,0.00666,,,0.00322,,0.05616,,,0.00589,0.01769,0.02821,0.00032,,0.00224
2018-10-08 00:59:00,0.00472,,,,,,0.01651,0.02611,,0.01269,,0.00195,,0.00294,,,0.0196,,0.05858,0.0007,,,0.02695,0.01231,0.01007,,
2018-10-08 01:00:00,0.0053,,,,,,0.00136,,,,0.00675,0.0078,,0.00111,,,0.01093,,0.05063,0.0005,,,0.01094,0.02094,0.01644,,
2018-10-08 01:01:00,0.00241,,,,,,0.00644,0.0011,0.0015,,,,,0.00328,0.0042,,0.01195,0.00047,0.03781,,,0.00058,0.02372,0.00408,0.00652,,0.01256
2018-10-08 01:02:00,,,,,,,0.01756,0.00117,0.00148,0.00331,,2e-05,,0.00335,0.00048,,0.01662,0.00443,0.05672,,,0.00654,0.0067,0.01721,0.00296,,0.00997
2018-10-08 01:03:00,0.00852,,,,,,0.00477,0.00161,0.00409,0.01154,0.00376,,,0.02396,0.001,,0.02738,,0.05903,0.00731,,0.01437,0.01064,0.01967,0.012,,0.00766
2018-10-08 01:04:00,0.01168,,,,,,0.01437,0.00613,0.00682,0.00545,0.01536,,,0.00301,,,0.02837,,0.0669,,,0.02353,0.01152,0.00321,,,0.00047
2018-10-08 01:05:00,0.00995,,,,,,0.02216,0.00269,0.01531,0.01667,0.003,,,0.00217,,,0.01657,,0.06332,0.00058,,,0.02355,0.02377,0.00093,,
2018-10-08 01:06:00,0.00765,,,,,,0.00494,0.00221,0.02401,0.00781,,,,,0.00082,,0.01754,,0.06357,,,0.00295,0.0232,0.01358,0.00374,,0.025
2018-10-08 01:07:00,,,,,,,0.00978,0.00367,0.01773,0.00897,0.00331,,0.00018,0.01611,0.00373,,0.01765,,0.07033,,,0.00302,0.01191,0.01662,0.00674,,0.0235
